sub_id,age_months,gender,english,exclude2,prop_correct_vocab,end_time,resp_start_time,stage_type,start_time,event,version,correct,help,object1,category,Object 1,time_start,type,trial_type
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:22:01Z,0000-11-09T15:22:01Z,Pair (Repeated),0000-11-09T15:21:59Z,Session,16,1,None,cookie,NA,NA,NA,NA,C-NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:22:33Z,0000-11-09T15:22:32Z,Pair (New),0000-11-09T15:22:30Z,Session,16,1,None,leek,NA,NA,NA,NA,NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:22:43Z,0000-11-09T15:22:41Z,Pair (Repeated),0000-11-09T15:22:40Z,Session,16,0,None,cam,NA,NA,NA,NA,C-NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:22:53Z,0000-11-09T15:22:52Z,Pair (Repeated),0000-11-09T15:22:50Z,Session,16,1,None,guitar,NA,NA,NA,NA,C-NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:23:13Z,0000-11-09T15:23:12Z,Pair (Repeated),0000-11-09T15:23:10Z,Session,16,1,None,disk,NA,NA,NA,NA,C-NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:23:24Z,0000-11-09T15:23:22Z,Pair (New),0000-11-09T15:23:20Z,Session,16,1,None,dulcimer,NA,NA,NA,NA,NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:23:35Z,0000-11-09T15:23:33Z,Pair (New),0000-11-09T15:23:31Z,Session,16,1,None,sieve,NA,NA,NA,NA,NN
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:32:36Z,0000-11-09T15:32:35Z,Pair (New),0000-11-09T15:32:33Z,Session,16,1,None,flower,NA,NA,NA,NA,FF
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:32:54Z,0000-11-09T15:32:53Z,Pair (New),0000-11-09T15:32:51Z,Session,16,1,None,balloon,NA,NA,NA,NA,FF
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:33:02Z,0000-11-09T15:33:01Z,Pair (New),0000-11-09T15:32:59Z,Session,16,1,None,banana,NA,NA,NA,NA,FF
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:33:13Z,0000-11-09T15:33:11Z,Pair (New),0000-11-09T15:33:09Z,Session,16,1,None,tongs,NA,NA,NA,NA,NF
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:33:38Z,0000-11-09T15:33:36Z,Pair (Repeated),0000-11-09T15:33:34Z,Session,16,0,None,sieve,NA,NA,NA,NA,C-NN
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:33:49Z,0000-11-09T15:33:48Z,Pair (New),0000-11-09T15:33:45Z,Session,16,1,None,kumquat,NA,NA,NA,NA,NN
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:33:57Z,0000-11-09T15:33:56Z,Pair (Repeated),0000-11-09T15:33:55Z,Session,16,1,None,bottle,NA,NA,NA,NA,C-NF
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:34:22Z,0000-11-09T15:34:21Z,Pair (Repeated),0000-11-09T15:34:20Z,Session,16,1,None,bowl,NA,NA,NA,NA,C-NF
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:34:41Z,0000-11-09T15:34:35Z,Pair (New),0000-11-09T15:34:33Z,Session,16,1,None,dulcimer,NA,NA,NA,NA,NN
1191604,36.599999999999994,male,75,NA,0.8095238095238095,0000-11-09T15:34:56Z,0000-11-09T15:34:52Z,Pair (New),0000-11-09T15:34:51Z,Session,16,1,None,funnel,NA,NA,NA,NA,NF
